AC,CB,G,MnO2,Pour Density,Water Uptake,6M KOH Uptake,Max Current,Capacity
0,0,100,0,0.37355814,29.40380096,21.80016958,0.466666667,0.013333333
0,0,100,20,0.37355814,44.19503627,27.23705134,4,0.663333333
0,0,100,40,0.37355814,44.63230295,27.75527044,2.333333333,0.63
0,0,100,60,0.37355814,47.02572463,33.3460609,1.666666667,3.016666667
0,0,100,80,0.37355814,46.96693163,34.3185872,1.5,4.885
0,0,100,100,0.37355814,47.0205176,37.90442946,3,2.41
100,0,0,0,0.641465116,54.28556358,41.03347429,1.083333333,0.833333333
100,0,0,20,0.641465116,56.11034051,40.89813068,0.75,3.505
100,0,0,40,0.641465116,54.4380558,38.21551673,0.75,4.538333333
100,0,0,60,0.641465116,42.44749346,34.55024253,0.75,6.236666667
100,0,0,80,0.641465116,38.0689549,37.35244295,0.916666667,5.82
100,0,0,100,0.641465116,38.32853315,43.67079352,0.583333333,6.705
0,100,0,0,0.542790698,30.10942032,15.14226006,3.149333333,0
0,100,0,20,0.542790698,27.77866746,10.77060344,5.885333333,0.407166667
0,100,0,40,0.542790698,21.10305808,12.47349774,6.543333333,1.474333333
0,100,0,60,0.542790698,25.00969854,14.04548832,7.720833333,2.112166667
0,100,0,80,0.542790698,18.96868303,12.34884575,9.0495,5.358
,,,,,,,,
,,,,,,,,
