AC,CB,G,Particle size,Apparent Density ,Surface Area,Conductivity,Thickness,Max Current,Capacity,Water Uptake,Electrolyte Uptake
33.33,33.33,33.33,36.3297,1.66003398,347.3742591,0.192952065,0.04575,3.5845,0.38,27.63772176,24.14122137
60,20,20,39.8,1.19612,608.4454,0.073709503,0.052303704,3.632,0.1,31.55021834,27.07692308
15,43,42,34.07,1.979522,168.13534,0.322138435,0.042826667,7.5865,0.65,20.9486166,20.80717489
28,27,45,33.48,1.74821,291.80215,0.281012587,0.04714,7.251,6.1,26.72253259,23.13691508
46,46,8,42.54,1.449908,478.57816,0.16322722,0.046010345,3.8715,0.55,26.89265537,26.47058824
38,8,54,31.42,1.566704,384.40258,0.198188783,0.042840741,4.207,0.61,28.44611529,24.14664981
12,55,33,36.2,2.037338,142.73491,0.582430397,0.04285,6.2305,8.93,21.8404908,22
13,22,65,28.53,2.00258,140.24755,0.431932016,0.042463333,6.3265,5.1,22.4916388,21.95918367
9,68,23,38.57,2.095688,117.71221,0.276323551,0.041716667,5.533,4.96,25.82480091,23.12348668
80,5,15,41.2,0.84539,802.33405,0.043787781,0.043233333,1.7905,0,33.48571429,29.77346278
35,50,15,40.75,1.64054,370.33405,0.215602961,0.042911111,4.929,3.55,26.70454545,26.25
38,24,38,35.26,1.575248,390.44626,0.166500392,0.039357576,3.12,0.18,26.89530686,25.36231884
6,78,16,40.22,2.152436,91.55632,1.100698222,0.045021739,14.542,13.315,22.36095346,20.54507338
7,88,5,42.87,2.14064,105.31135,1.419666107,0.040345833,12.7565,18.625,21.88328912,19.84231275
4,60,36,35.4,2.177096,64.80172,1.248831252,0.04502381,11.244,15.7,23.06079665,19.68680089
16,32,52,31.68,1.956512,173.95804,0.57219607,0.041503333,8.106,6.35,22.73730684,21.20805369
26,46,28,37.54,1.792628,279.02356,0.326878777,0.045483333,3.155,2.42,31.15124153,22.66065389
70,15,15,41.1,1.02209,706.33405,0.068915048,0.045056667,2.24,0.14,32.41706161,28.24074074
60,10,30,37.4,1.19078,604.6681,0.10922822,0.04256,2.3235,0,29.09090909,26.6064257
25,7,68,27.93,1.788938,254.31436,0.297051661,0.038793333,4.1225,4.72,27.44886975,22.66380236
50,32,18,40.18,1.373888,513.20086,0.179882801,0.045716667,2.285,0.15,24.055666,24.18235877
50,18,32,36.82,1.366412,507.91264,0.142248486,0.043336364,3.1325,0.275,27.65151515,25.5489022
18,72,10,41.78,1.9436,209.0227,0.88974448,0.046636667,11.504,17.19,21.09090909,21.01313321
13,12,75,26.13,1.99724,136.47025,0.435523323,0.039763333,7.5125,5.385,22.3671013,19.74333662
81,15,4,43.85,0.833594,816.08908,0.026984995,0.044826667,0.778,0,34.48673587,31.01736973
65,30,5,43.45,1.11578,662.11135,0.070698588,0.044694444,2.1945,0.1,26.94552529,27.35381566
30,60,10,41.9,1.73156,324.2227,0.378806446,0.041251515,4.641,4.42,19.22330097,21.20559742
39,39,22,39.11,1.566122,406.08994,0.243819366,0.043954545,3.0415,0.27,20.97560976,21.93927522
6,7,87,23.18,2.114522,64.73749,0.553907602,0.042325641,5.49,6.59,21.80595581,22.22222222
54,5,41,34.7,1.290926,542.91307,0.097019189,0.0432,2.411,0.44,26.5625,27.50601443
3,36,61,29.39,2.181416,45.75847,0.732222787,0.044384848,7.837,9.545,19.31914894,19.00684932
30,70,0,44.3,1.7369,328,0.632911924,0.049483333,4.471,15.05,19.38046068,20.9664848
100,0,0,45,0.5,1000,0.018843742,0.047794872,1.001,0,37.3502994,32.77182236
0,100,0,44,2.267,40,1.150285708,0.057233333,17.19975,15.56,22.13570634,20
0,0,100,20,2.2136,2.227,0.424388502,0.033184615,5.155,3.315,27.67605634,21.85273159
0,50,50,32,2.2403,21.1135,0.990469739,0.043196667,4.912,5.06,16.95652174,16.60859466
20,60,20,39.4,1.90292,224.4454,0.716875287,0.0575,4.927,8.605,18.19066148,18.52248394
22,20,58,30.3,1.847288,229.29166,0.379107025,0.045158333,3.248,2.195,20,22.69573835
0,70,30,36.8,2.25098,28.6681,1.689218093,0.049246667,17.79975,20.11,16.46811493,17.28045326
0,30,70,27.2,2.22962,13.5589,1.049428723,0.043477778,10.002,13.785,16.84470008,17.90935673
