AC,CB,G,MnO2,Pour Density,Apparent Density,KOH,Conductivity,Max Current,Capacity
33.33,33.33,33.33,80,0.519219391,1.66003398,1,0.192952065,2.389666667,0.19
60,20,20,80,0.568148837,1.19612,1,0.073709503,2.421333333,0.05
15,43,42,80,0.486514186,1.979522,1,0.322138435,5.057666667,0.325
28,27,45,80,0.494264884,1.74821,1,0.281012587,4.834,3.05
46,46,8,80,0.574642326,1.449908,1,0.16322722,2.581,0.275
38,8,54,80,0.488901395,1.566704,1,0.198188783,2.804666667,0.305
12,55,33,80,0.498784884,2.037338,1,0.582430397,4.153666667,4.465
13,22,65,80,0.445617209,2.00258,1,0.431932016,4.217666667,2.55
9,68,23,80,0.512747907,2.095688,1,0.276323551,3.688666667,2.48
80,5,15,80,0.596345349,0.84539,1,0.043787781,1.193666667,0
35,50,15,80,0.55194186,1.64054,1,0.215602961,3.286,1.775
38,24,38,80,0.515978605,1.575248,1,0.166500392,2.08,0.09
6,78,16,80,0.521633953,2.152436,1,1.100698222,9.694666667,6.6575
7,88,5,80,0.541236279,2.14064,1,1.419666107,8.504333333,9.3125
4,60,36,80,0.485813953,2.177096,1,1.248831252,7.496,7.85
16,32,52,80,0.470577674,1.956512,1,0.57219607,5.404,3.175
26,46,28,80,0.52106093,1.792628,1,0.326878777,2.103333333,1.21
70,15,15,80,0.586477907,1.02209,1,0.068915048,1.493333333,0.07
60,10,30,80,0.551225581,1.19078,1,0.10922822,1.549,0
25,7,68,80,0.452381163,1.788938,1,0.297051661,2.748333333,2.36
50,32,18,80,0.561666047,1.373888,1,0.179882801,1.523333333,0.075
50,18,32,80,0.537973488,1.366412,1,0.142248486,2.088333333,0.1375
18,72,10,80,0.543628837,1.9436,1,0.88974448,7.669333333,8.595
13,12,75,80,0.428693953,1.99724,1,0.435523323,5.008333333,2.6925
81,15,4,80,0.615947674,0.833594,1,0.026984995,0.518666667,0
65,30,5,80,0.598467442,1.11578,1,0.070698588,1.463,0.05
30,60,10,80,0.555469767,1.73156,1,0.378806446,3.094,2.21
39,39,22,80,0.544042558,1.566122,1,0.243819366,2.027666667,0.135
6,7,87,80,0.401478837,2.114522,1,0.553907602,3.66,3.295
54,5,41,80,0.526689535,1.290926,1,0.097019189,1.607333333,0.22
3,36,61,80,0.44251907,2.181416,1,0.732222787,5.224666667,4.7725
30,70,0,80,0.572393023,1.7369,1,0.632911924,2.980666667,7.525
100,0,0,80,0.641465116,0.5,1,0.018843742,0.667333333,0
0,100,0,80,0.542790698,2.267,1,1.150285708,11.4665,7.1125
0,0,100,80,0.37355814,2.2136,1,0.424388502,3.436666667,1.6575
