AC,CB,G,MnO2,Pour Density,Conductivity,Max Current,Capacity
33.33,33.33,33.33,80,0.519219391,0.192952065,4.539529412,1.88
60,20,20,80,0.568148837,0.073709503,3.659411765,5.27
15,43,42,80,0.486514186,0.322138435,10.80970588,3.4525
28,27,45,80,0.494264884,0.281012587,6.827794118,5.07
46,46,8,80,0.574642326,0.16322722,6.439411765,6.235
12,55,33,80,0.498784884,0.582430397,12.39470588,5.115
13,22,65,80,0.445617209,0.431932016,8.385,3.675
9,68,23,80,0.512747907,0.276323551,10.24367647,6.55
80,5,15,80,0.596345349,0.043787781,1.560294118,0.035
35,50,15,80,0.55194186,0.215602961,8.028970588,5.84
38,24,38,80,0.515978605,0.166500392,4.641029412,3.755
6,78,16,80,0.521633953,1.100698222,15.97867647,5.41
7,88,5,80,0.541236279,1.419666107,16.17470588,6.145
16,32,52,80,0.470577674,0.57219607,10.24602941,5.755
26,46,28,80,0.52106093,0.326878777,8.318382353,6.205
70,15,15,80,0.586477907,0.068915048,2.186323529,5.37
60,10,30,80,0.551225581,0.10922822,3.265735294,4.13
25,7,68,80,0.452381163,0.297051661,5.265735294,3.42
50,32,18,80,0.561666047,0.179882801,5.121029412,6.335
50,18,32,80,0.537973488,0.142248486,4.349264706,5.8
18,72,10,80,0.543628837,0.88974448,18.49279412,6.935
13,12,75,80,0.428693953,0.435523323,8.788235294,3.335
81,15,4,80,0.615947674,0.026984995,0.925882353,3.645
65,30,5,80,0.598467442,0.070698588,3.625147059,6.43
30,60,10,80,0.555469767,0.378806446,12.77544118,3.795
39,39,22,80,0.544042558,0.243819366,7.312794118,4.44
6,7,87,80,0.401478837,0.553907602,8.335441176,3.115
54,5,41,80,0.526689535,0.097019189,3.131911765,4.615
3,36,61,80,0.44251907,0.732222787,11.18191176,6.595
30,70,0,80,0.572393023,0.632911924,15.18044118,6.47
100,0,0,80,0.641465116,0.018843742,0.575,0.61
0,100,0,80,0.542790698,1.150285708,23.94897059,6.11
0,0,100,80,0.37355814,0.424388502,3.861029412,1.925
0,50,50,80,0.458174419,0.990469739,10.01352941,2.895
20,60,20,80,0.52867907,0.716875287,8.292647059,4.195
22,20,58,80,0.466344186,0.379107025,7.317205882,3.65
0,70,30,80,0.49202093,1.689218093,21.88117647,6.81
0,30,70,80,0.424327907,1.049428723,15.01544118,3.925
33.33,33.33,33.33,0,0.519219391,0.951415809,2.415735294,0.27
70,0,30,0,0.561093023,0.09950023,1.109705882,0.01
40,0,60,0,0.48072093,0.415381274,1.985882353,0.02
70,30,0,0,0.611862791,0.374146666,2.588088235,0.4
40,50,10,0,0.565337209,1.139189384,6.110882353,0.38
60,20,20,0,0.568148837,0.440565051,2.996470588,0.25
10,50,40,0,0.484965116,3.088658087,4.943382353,0.13
20,20,60,0,0.460986047,1.811520979,3.532205882,0.15
45,15,40,0,0.519501163,0.238737022,1.931617647,0.055
20,55,25,0,0.520217442,1.043711592,2.625147059,0.13
10,35,55,0,0.459580233,1.613304778,3.317205882,0.075
100,0,0,0,0.641465116,0.043541527,0.73,0
0,100,0,0,0.542790698,1.128502904,2.292941176,0.02
0,0,100,0,0.37355814,0.741020452,0.980588235,0.005
10,85,5,0,0.544196512,1.64703924,4.0825,0.135
15,70,15,0,0.532206977,1.661495441,4.118382353,0.15
0,70,30,0,0.49202093,2.83625654,2.03,0.015
0,30,70,0,0.424327907,3.872890985,1.725441176,0.01
55,35,10,0,0.580138372,0.513566896,3.137205882,0.22
