AC,CB,G,MnO2,Pour Density,Water Uptake,Electrolyte Uptake,Conductivity,Max Current,Capacity
33.33,33.33,33.33,80,0.519219391,27.63772176,21.61422709,0.192952065,4.539529412,1.88
60,20,20,80,0.568148837,31.55021834,23.87596899,0.073709503,3.659411765,5.27
15,43,42,80,0.486514186,20.9486166,16.87413555,0.322138435,10.80970588,3.4525
28,27,45,80,0.494264884,26.72253259,17.88413098,0.281012587,6.827794118,5.07
46,46,8,80,0.574642326,26.89265537,18.77470356,0.16322722,6.439411765,6.235
12,55,33,80,0.498784884,21.8404908,15.72254335,0.582430397,12.39470588,5.115
13,22,65,80,0.445617209,22.4916388,16.96113074,0.431932016,8.385,3.675
9,68,23,80,0.512747907,25.82480091,14.03508772,0.276323551,10.24367647,6.55
80,5,15,80,0.596345349,33.48571429,22.81976744,0.043787781,1.560294118,0.035
35,50,15,80,0.55194186,26.70454545,17.41935484,0.215602961,8.028970588,5.84
38,24,38,80,0.515978605,26.89530686,17.39130435,0.166500392,4.641029412,3.755
6,78,16,80,0.521633953,22.36095346,14.44444444,1.100698222,15.97867647,5.41
7,88,5,80,0.541236279,21.88328912,11.95286195,1.419666107,16.17470588,6.145
16,32,52,80,0.470577674,22.73730684,14.28571429,0.57219607,10.24602941,5.755
26,46,28,80,0.52106093,31.15124153,16.2109375,0.326878777,8.318382353,6.205
70,15,15,80,0.586477907,32.41706161,21.82835821,0.068915048,2.186323529,5.37
60,10,30,80,0.551225581,29.09090909,21.22370937,0.10922822,3.265735294,4.13
25,7,68,80,0.452381163,27.44886975,17.76649746,0.297051661,5.265735294,3.42
50,32,18,80,0.561666047,24.055666,21.70542636,0.179882801,5.121029412,6.335
50,18,32,80,0.537973488,27.65151515,23.7695078,0.142248486,4.349264706,5.8
18,72,10,80,0.543628837,21.09090909,18.30508475,0.88974448,18.49279412,6.935
13,12,75,80,0.428693953,22.3671013,18.8034188,0.435523323,8.788235294,3.335
81,15,4,80,0.615947674,34.48673587,27.80082988,0.026984995,0.925882353,3.645
65,30,5,80,0.598467442,26.94552529,23.66412214,0.070698588,3.625147059,6.43
30,60,10,80,0.555469767,19.22330097,17.60435572,0.378806446,12.77544118,3.795
39,39,22,80,0.544042558,20.97560976,19.61290323,0.243819366,7.312794118,4.44
6,7,87,80,0.401478837,21.80595581,17.41233374,0.553907602,8.335441176,3.115
54,5,41,80,0.526689535,26.5625,27.45376956,0.097019189,3.131911765,4.615
3,36,61,80,0.44251907,19.31914894,14.50381679,0.732222787,11.18191176,6.595
30,70,0,80,0.572393023,19.38046068,18.70100784,0.632911924,15.18044118,6.47
100,0,0,80,0.641465116,37.3502994,29.08680947,0.018843742,0.575,0.61
0,100,0,80,0.542790698,22.13570634,21.90942472,1.150285708,23.94897059,6.11
0,0,100,80,0.37355814,27.67605634,16.70281996,0.424388502,3.861029412,1.925
0,50,50,80,0.458174419,16.95652174,12.80487805,0.990469739,10.01352941,2.895
20,60,20,80,0.52867907,18.19066148,15.90457256,0.716875287,8.292647059,4.195
22,20,58,80,0.466344186,20,18.33976834,0.379107025,7.317205882,3.65
0,70,30,80,0.49202093,16.46811493,14.88033299,1.689218093,21.88117647,6.81
0,30,70,80,0.424327907,16.84470008,15.58823529,1.049428723,15.01544118,3.925
33.33,33.33,33.33,0,0.519219391,31.42857143,15.11254019,0.951415809,2.415735294,0.27
70,0,30,0,0.561093023,47.76119403,30,0.09950023,1.109705882,0.01
40,0,60,0,0.48072093,42.81609195,21.93877551,0.415381274,1.985882353,0.02
70,30,0,0,0.611862791,38.93442623,22.40802676,0.374146666,2.588088235,0.4
40,50,10,0,0.565337209,32.71221532,20.24793388,1.139189384,6.110882353,0.38
60,20,20,0,0.568148837,43.16939891,19.14893617,0.440565051,2.996470588,0.25
10,50,40,0,0.484965116,38.00424628,18.37160752,3.088658087,4.943382353,0.13
20,20,60,0,0.460986047,40.59405941,9.333333333,1.811520979,3.532205882,0.15
45,15,40,0,0.519501163,40.12345679,17.43341404,0.238737022,1.931617647,0.055
20,55,25,0,0.520217442,22.3880597,13.84083045,1.043711592,2.625147059,0.13
10,35,55,0,0.459580233,23.99049881,7.901234568,1.613304778,3.317205882,0.075
100,0,0,0,0.641465116,53.7037037,35.41666667,0.043541527,0.73,0
0,100,0,0,0.542790698,23.40909091,10.67285383,1.128502904,2.292941176,0.02
0,0,100,0,0.37355814,24.00990099,14.70588235,0.741020452,0.980588235,0.005
10,85,5,0,0.544196512,25.26315789,10.07194245,1.64703924,4.0825,0.135
15,70,15,0,0.532206977,20.34313725,9.756097561,1.661495441,4.118382353,0.15
0,70,30,0,0.49202093,11.8902439,7.692307692,2.83625654,2.03,0.015
0,30,70,0,0.424327907,17.98029557,7.286432161,3.872890985,1.725441176,0.01
55,35,10,0,0.580138372,31.7961165,15.38461538,0.513566896,3.137205882,0.22
